Sample	Gloss
signer39_sample106	spin 
signer39_sample118	interesting 
signer39_sample121	out 
signer39_sample126	rob 
signer39_sample128	deduct 
signer39_sample147	from now on 
signer40_sample1	bake 
signer40_sample8	hippopotamus 
signer42_sample3	year 
signer42_sample5	woman 
signer42_sample14	yesterday 
signer42_sample23	world 
signer43_sample11	pressure 
signer45_sample2	deaf 
signer45_sample4	finish 
signer45_sample30	onion 
signer45_sample32	pepper 
signer45_sample38	weekend 
signer45_sample41	egypt 
signer45_sample43	history 
signer45_sample48	nose 
signer45_sample57	israel 
signer45_sample69	dinosaur 
signer45_sample81	german 
signer45_sample83	principal 
signer45_sample88	thailand 
signer45_sample91	bank 
signer46_sample12	noon 
signer46_sample16	appointment 
signer46_sample17	hello 
signer46_sample18	morning 
signer47_sample4	black 
signer47_sample5	orange 
signer47_sample11	pink 
signer47_sample22	my 
signer50_sample4	position 
signer50_sample5	purchase 
signer52_sample17	bathroom 
signer52_sample22	game 
signer52_sample24	party 
signer52_sample32	wet 
signer52_sample33	win 
signer52_sample46	shower 
signer53_sample4	authority 
signer56_sample2	candy 
signer56_sample8	now 
signer56_sample33	war 
signer56_sample34	champion 
signer56_sample35	money 
signer56_sample37	moon 
signer56_sample42	nurse 
signer56_sample47	traffic 
signer56_sample49	wednesday 
signer56_sample88	lesson 
signer56_sample90	mouse 
signer56_sample91	museum 
signer56_sample99	rest 
signer56_sample100	translate 
signer56_sample103	wash 
signer56_sample129	calculus 
signer56_sample134	november 
signer56_sample136	personality 
signer56_sample138	prostitute 
signer56_sample144	clumsy 
signer56_sample145	congratulations 
signer56_sample146	meaning 
signer56_sample150	ten 
signer57_sample5	choir 
signer59_sample2	computer 
signer59_sample4	clothes 
signer59_sample7	cousin 
signer59_sample17	bird 
signer59_sample27	birthday 
signer59_sample35	check 
signer59_sample64	cough 
signer59_sample65	crazy 
signer59_sample67	blind 
signer59_sample68	bored 
signer59_sample73	cafeteria 
signer59_sample76	church 
signer59_sample77	cookie 
signer59_sample78	cup 
signer59_sample80	deep 
signer59_sample83	kitchen 
signer59_sample85	big 
signer59_sample97	complex 
signer59_sample103	demand 
signer59_sample113	body 
signer59_sample114	borrow 
signer59_sample117	build 
signer59_sample149	climb 
signer59_sample165	background 
signer59_sample166	birth 
signer59_sample172	bright 
signer59_sample174	card 
signer59_sample180	chop 
signer59_sample199	bully 
signer59_sample217	contract 
signer59_sample223	determine 
signer59_sample239	bye 
signer59_sample243	captain 
signer60_sample7	headache 
signer60_sample11	lose 
signer60_sample15	nephew 
signer60_sample16	niece 
signer60_sample17	nurse 
signer60_sample21	hospital 
signer60_sample22	score 
signer60_sample25	sit 
signer60_sample29	bitter 
signer60_sample37	physician 
signer63_sample5	same 
signer63_sample6	run 
signer63_sample8	soon 
signer63_sample31	robot 
signer63_sample33	shame 
signer63_sample34	simple 
signer64_sample2	hot 
signer64_sample25	down 
signer64_sample29	my 
signer64_sample33	me 
signer66_sample4	experiment 
signer66_sample8	decrease 
signer75_sample3	disgust 
signer77_sample20	thick 
signer77_sample22	electricity 
signer77_sample23	microscope 
signer77_sample27	rose 
signer78_sample7	december 
signer88_sample12	backpack 
signer88_sample32	area 
signer88_sample54	against 
signer88_sample56	worker 
signer88_sample57	worthless 
signer88_sample58	act 
signer88_sample60	crocodile 
signer89_sample1	candy 
signer89_sample14	ready 
signer90_sample64	asia 
signer90_sample66	barely 
signer90_sample99	kick 
signer90_sample102	cannot 
signer90_sample105	iron 
signer90_sample106	kid 
signer91_sample2	bar 
signer91_sample25	admit 
signer92_sample8	fast 
signer93_sample10	power 
signer94_sample4	forget 
signer94_sample8	far 
signer94_sample10	drop 
signer94_sample32	forbid 
signer95_sample16	dice 
signer96_sample7	join 
signer96_sample24	infection 
signer96_sample25	instead 
signer96_sample26	institute 
signer96_sample27	kangaroo 
signer96_sample29	inspire 
signer97_sample17	miss 
signer97_sample34	network 
signer97_sample36	nineteen 
signer97_sample37	normal 
signer97_sample38	nut 
signer97_sample39	once 
signer97_sample40	owl 
signer97_sample43	motivate 
signer97_sample44	nine 
signer97_sample45	notice 
signer97_sample46	obsess 
signer97_sample48	pack 
signer98_sample37	erase 
signer98_sample39	tongue 
signer99_sample6	cold 
signer99_sample20	connect 
signer99_sample22	dangerous 
signer100_sample16	underwear 
signer100_sample23	visitor 
signer100_sample25	vlog 
signer101_sample9	pants 
signer101_sample21	pass 
signer101_sample31	parallel 
signer101_sample38	poop 
signer102_sample1	cousin 
signer102_sample3	dog 
signer102_sample15	decorate 
signer102_sample26	dream 
signer102_sample34	confused 
signer102_sample35	dizzy 
signer102_sample36	document 
signer102_sample37	siren 
signer102_sample38	comment 
signer102_sample40	consume 
signer102_sample42	crave 
signer102_sample43	disgusted 
signer103_sample3	show 
signer103_sample35	lift 
signer103_sample36	octopus 
signer103_sample38	recent 
signer103_sample39	resign 
signer103_sample40	shoulder 
signer103_sample41	regular 
signer105_sample5	sixteen 
signer106_sample2	hearing 
signer106_sample6	leave 
signer106_sample31	flute 
signer106_sample33	fourth 
signer106_sample34	fool 
signer108_sample16	snowman 
signer109_sample15	like 
signer109_sample26	school 
signer109_sample31	water 
signer109_sample34	learn 
signer109_sample35	movie 
signer109_sample39	teacher 
signer109_sample42	college 
signer109_sample43	remember 
signer109_sample81	bike 
signer110_sample10	pink 
signer110_sample18	window 
signer110_sample20	light 
signer111_sample9	different 
signer115_sample6	city 
signer115_sample7	how 
signer115_sample8	pull 
signer115_sample10	with 
signer115_sample11	write 
signer115_sample12	buy 
signer115_sample13	crash 
signer115_sample18	student 
signer115_sample45	maybe 
signer115_sample60	come 
signer115_sample63	size 
signer115_sample64	skate 
signer115_sample65	them 
signer115_sample66	done 
signer115_sample67	very 
signer116_sample9	brother 
signer116_sample10	snow 
signer116_sample27	angle 
signer116_sample29	lightning 
signer116_sample32	sea 
signer117_sample2	pizza 
signer117_sample6	cereal 
signer117_sample9	cake 
signer117_sample16	add 
signer117_sample25	chapter 
signer117_sample26	crush 
signer118_sample8	like 
signer118_sample14	can 
signer118_sample20	play 
signer118_sample24	brown 
signer118_sample25	purple 
signer118_sample26	yellow 
signer118_sample27	cat 
signer118_sample28	class 
signer118_sample29	green 
signer118_sample30	have 
signer118_sample31	red 
signer118_sample32	sick 
signer118_sample33	bad 
signer118_sample35	home 
signer118_sample36	name 
signer118_sample37	old 
signer118_sample38	you 
signer118_sample62	mom 
signer118_sample81	eye 
signer118_sample82	this 
signer118_sample83	five 
signer118_sample84	tv 
signer119_sample2	ball 
signer120_sample1	basketball 
signer121_sample10	fine 
signer121_sample13	cool 
signer121_sample14	finish 
signer121_sample41	cook 
signer121_sample42	decide 
signer121_sample43	full 
signer121_sample45	letter 
signer121_sample46	need 
signer121_sample51	thursday 
signer121_sample53	wife 
signer121_sample55	door 
signer121_sample58	knife 
signer121_sample62	show 
signer121_sample66	why 
signer121_sample68	yesterday 
signer121_sample70	coffee 
signer121_sample73	daughter 
signer121_sample79	late 
signer121_sample80	police 
signer121_sample82	sunday 
signer121_sample212	bottom 
signer121_sample234	stupid 
signer121_sample274	careless 
signer121_sample275	court 
signer121_sample276	depressed 
signer121_sample277	dirt 
signer121_sample280	philadelphia 
signer121_sample281	several 
signer121_sample282	someone 
signer121_sample283	temple 
signer121_sample284	waiter 
signer0_sample1	chair 
signer0_sample2	go 
signer0_sample3	hot 
signer0_sample5	graduate 
signer0_sample6	hearing 
signer0_sample11	need 
signer0_sample12	tell 
signer0_sample14	take 
signer0_sample15	coffee 
signer0_sample16	college 
signer0_sample18	home 
signer0_sample19	list 
signer0_sample20	problem 
signer0_sample22	test 
signer0_sample23	business 
signer0_sample25	house 
signer0_sample26	office 
signer0_sample28	small 
signer0_sample30	divorce 
signer0_sample31	environment 
signer0_sample32	fault 
signer0_sample33	law 
signer0_sample34	meat 
signer0_sample36	off 
signer0_sample37	perspective 
signer0_sample38	when 
signer0_sample39	bowl 
signer0_sample40	box 
signer0_sample41	bread 
signer0_sample42	cafeteria 
signer0_sample43	cookie 
signer0_sample44	cup 
signer0_sample45	decorate 
signer0_sample46	dirty 
signer0_sample47	dry 
signer0_sample48	important 
signer0_sample49	picture 
signer0_sample50	point 
signer0_sample51	scared 
signer0_sample53	shape 
signer0_sample54	star 
signer0_sample55	stubborn 
signer0_sample56	surgery 
signer0_sample57	tree 
signer0_sample58	adult 
signer0_sample59	beer 
signer0_sample60	cake 
signer0_sample61	contact 
signer0_sample62	continue 
signer0_sample63	desert 
signer0_sample64	dictionary 
signer0_sample65	food 
signer0_sample66	guess 
signer0_sample67	hungry 
signer0_sample68	introduce 
signer0_sample70	smile 
signer0_sample72	squirrel 
signer0_sample73	university 
signer0_sample76	dollar 
signer0_sample80	in 
signer0_sample81	island 
signer0_sample83	television 
signer0_sample86	bicycle 
signer0_sample87	care 
signer0_sample90	emotion 
signer0_sample94	homework 
signer0_sample95	interview 
signer0_sample96	mushroom 
signer0_sample98	open 
signer0_sample99	pain 
signer0_sample100	printer 
signer0_sample101	private 
signer0_sample102	protect 
signer0_sample103	provide 
signer0_sample105	sometimes 
signer0_sample108	tennis 
signer0_sample109	three 
signer0_sample111	tournament 
signer0_sample112	two 
signer0_sample113	weekly 
signer0_sample114	artist 
signer0_sample116	bright 
signer0_sample118	demonstrate 
signer0_sample119	dig 
signer0_sample120	disconnect 
signer0_sample121	electrician 
signer0_sample123	fence 
signer0_sample124	fix 
signer0_sample125	flexible 
signer0_sample126	health 
signer0_sample127	hearing aid 
signer0_sample128	heavy 
signer0_sample129	high school 
signer0_sample130	influence 
signer0_sample131	linguistics 
signer0_sample132	only 
signer0_sample133	result 
signer0_sample134	rock 
signer0_sample135	sensitive 
signer0_sample136	shampoo 
signer0_sample137	sketch 
signer0_sample138	title 
signer0_sample139	under 
signer0_sample140	weird 
signer0_sample141	worse 
signer0_sample144	appetite 
signer0_sample146	cabbage 
signer0_sample147	connect 
signer0_sample148	crush 
signer0_sample149	decrease 
signer0_sample151	dormitory 
signer0_sample153	insect 
signer0_sample155	network 
signer0_sample156	normal 
signer0_sample158	remote control 
signer0_sample163	united states 
signer0_sample165	bush 
signer0_sample166	counsel 
signer0_sample169	death 
signer0_sample170	design 
signer0_sample173	explode 
signer0_sample175	look for 
signer0_sample177	or 
signer0_sample182	sculpture 
signer0_sample183	sequence 
signer1_sample1	church 
signer1_sample3	zero 
signer1_sample5	eight 
signer1_sample6	four 
signer1_sample7	seven 
signer1_sample8	six 
signer1_sample11	five 
signer2_sample1	drink 
signer2_sample2	fine 
signer2_sample4	many 
signer2_sample5	now 
signer2_sample6	orange 
signer2_sample8	bed 
signer2_sample10	bird 
signer2_sample12	dance 
signer2_sample16	brown 
signer2_sample17	but 
signer2_sample18	cheat 
signer2_sample19	medicine 
signer2_sample20	brother 
signer2_sample22	check 
signer2_sample23	again 
signer2_sample24	bad 
signer2_sample25	ball 
signer2_sample26	bathroom 
signer2_sample28	beard 
signer2_sample29	because 
signer2_sample30	boy 
signer2_sample32	discuss 
signer2_sample33	drop 
signer2_sample34	feel 
signer2_sample36	hope 
signer2_sample38	live 
signer2_sample39	more 
signer2_sample40	none 
signer2_sample42	some 
signer2_sample43	theory 
signer2_sample44	your 
signer2_sample45	always 
signer2_sample46	animal 
signer2_sample47	argue 
signer2_sample48	baby 
signer2_sample49	bake 
signer2_sample50	bath 
signer2_sample51	bring 
signer2_sample52	catch 
signer2_sample54	cheese 
signer2_sample56	crazy 
signer2_sample57	delicious 
signer2_sample59	egg 
signer2_sample60	halloween 
signer2_sample61	halloween 
signer2_sample62	hurry 
signer2_sample63	nice 
signer2_sample64	not 
signer2_sample66	sorry 
signer2_sample67	tent 
signer2_sample69	west 
signer2_sample70	wet 
signer2_sample71	age 
signer2_sample72	appointment 
signer2_sample73	avoid 
signer2_sample74	balloon 
signer2_sample75	bear 
signer2_sample76	believe 
signer2_sample77	blind 
signer2_sample78	bracelet 
signer2_sample79	car 
signer2_sample80	child 
signer2_sample83	deep 
signer2_sample84	dentist 
signer2_sample86	earn 
signer2_sample87	explain 
signer2_sample88	fishing 
signer2_sample89	follow 
signer2_sample90	from 
signer2_sample91	happen 
signer2_sample94	miss 
signer2_sample95	necklace 
signer2_sample96	onion 
signer2_sample98	plus 
signer2_sample99	ready 
signer2_sample100	soda 
signer2_sample102	stink 
signer2_sample103	sunset 
signer2_sample105	vacation 
signer2_sample106	adult 
signer2_sample107	after 
signer2_sample108	ago 
signer2_sample109	allow 
signer2_sample110	area 
signer2_sample111	art 
signer2_sample112	aunt 
signer2_sample113	awful 
signer2_sample114	awkward 
signer2_sample115	bacon 
signer2_sample116	beer 
signer2_sample117	carrot 
signer2_sample118	chocolate 
signer2_sample119	correct 
signer2_sample120	demand 
signer2_sample122	develop 
signer2_sample124	email 
signer2_sample125	experience 
signer2_sample126	face 
signer2_sample127	freeze 
signer2_sample128	god 
signer2_sample129	great 
signer2_sample130	helicopter 
signer2_sample131	invest 
signer2_sample132	measure 
signer2_sample133	neighbor 
signer2_sample134	peach 
signer2_sample135	postpone 
signer2_sample137	push 
signer2_sample138	raccoon 
signer2_sample139	smart 
signer2_sample140	sound 
signer2_sample141	strange 
signer2_sample142	strict 
signer2_sample143	suspect 
signer2_sample144	sweetheart 
signer2_sample145	that 
signer2_sample146	thirsty 
signer2_sample147	until 
signer2_sample148	weak 
signer2_sample149	wow 
signer2_sample152	arm 
signer2_sample153	army 
signer2_sample155	attract 
signer2_sample156	boss 
signer2_sample158	brag 
signer2_sample160	choice 
signer2_sample161	conflict 
signer2_sample163	deodorant 
signer2_sample164	destroy 
signer2_sample165	experiment 
signer2_sample166	fact 
signer2_sample167	fold 
signer2_sample168	goal 
signer2_sample170	guilty 
signer2_sample173	mechanic 
signer2_sample174	mom 
signer2_sample175	muscle 
signer2_sample178	put 
signer2_sample179	quit 
signer2_sample181	require 
signer2_sample184	sew 
signer2_sample185	sheep 
signer2_sample186	shine 
signer2_sample187	should 
signer2_sample188	skinny 
signer2_sample190	sour 
signer2_sample191	special 
signer2_sample194	to 
signer2_sample196	violin 
signer2_sample197	volunteer 
signer2_sample201	allergy 
signer2_sample203	apartment 
signer2_sample205	autumn 
signer2_sample207	beautiful 
signer2_sample208	bet 
signer2_sample209	boyfriend 
signer2_sample211	care 
signer2_sample213	chain 
signer2_sample214	character 
signer2_sample215	chase 
signer2_sample218	curriculum 
signer2_sample219	dad 
signer2_sample221	diarrhea 
signer2_sample222	enough 
signer2_sample223	evidence 
signer2_sample224	expect 
signer2_sample226	finally 
signer2_sample227	french 
signer2_sample229	gather 
signer2_sample230	gum 
signer2_sample231	honor 
signer2_sample232	jesus 
signer2_sample233	keep 
signer2_sample234	keyboard 
signer2_sample235	memorize 
signer2_sample238	neck 
signer2_sample239	next 
signer2_sample240	page 
signer2_sample241	parade 
signer2_sample242	parents 
signer2_sample244	popular 
signer2_sample246	presentation 
signer2_sample248	procrastinate 
signer2_sample249	project 
signer2_sample251	rehearse 
signer2_sample252	rude 
signer2_sample253	separate 
signer2_sample255	spin 
signer2_sample257	stare 
signer2_sample259	support 
signer2_sample261	taste 
signer2_sample263	their 
signer2_sample269	another 
signer2_sample271	behavior 
signer2_sample272	bell 
signer2_sample273	bull 
signer2_sample274	cent 
signer2_sample275	cherry 
signer2_sample276	chop 
signer2_sample277	christian 
signer2_sample278	coach 
signer2_sample279	cochlear implant 
signer2_sample280	coconut 
signer2_sample281	daily 
signer2_sample282	defend 
signer2_sample285	discover 
signer2_sample287	each 
signer2_sample288	establish 
signer2_sample290	faculty 
signer2_sample291	flirt 
signer2_sample293	funeral 
signer2_sample296	helmet 
signer2_sample298	leaf 
signer2_sample299	mainstream 
signer2_sample300	middle 
signer2_sample301	misunderstand 
signer2_sample304	nothing 
signer2_sample305	odd 
signer2_sample306	opposite 
signer2_sample307	overlook 
signer2_sample308	path 
signer2_sample309	physics 
signer2_sample310	positive 
signer2_sample311	pregnant 
signer2_sample312	prevent 
signer2_sample313	purpose 
signer2_sample314	race 
signer2_sample316	recognize 
signer2_sample317	refuse 
signer2_sample318	repeat 
signer2_sample319	request 
signer2_sample320	rob 
signer2_sample321	role 
signer2_sample322	salute 
signer2_sample323	satisfy 
signer2_sample324	selfish 
signer2_sample325	serve 
signer2_sample326	she 
signer2_sample327	skeleton 
signer2_sample328	skill 
signer2_sample329	specific 
signer2_sample330	stamp 
signer2_sample331	steel 
signer2_sample332	subtract 
signer2_sample333	suffer 
signer2_sample334	tan 
signer2_sample335	terrible 
signer2_sample336	thankful 
signer2_sample337	they 
signer2_sample338	through 
signer2_sample339	tiptoe 
signer2_sample341	way 
signer2_sample342	while 
signer2_sample343	wide 
signer2_sample344	workshop 
signer2_sample345	wrench 
signer2_sample350	against 
signer2_sample352	apart 
signer2_sample359	awake 
signer2_sample363	bra 
signer2_sample366	cabinet 
signer2_sample368	canoe 
signer2_sample369	complete 
signer2_sample370	confused 
signer2_sample371	congress 
signer2_sample374	defeat 
signer2_sample378	document 
signer2_sample382	expand 
signer2_sample383	fake 
signer2_sample385	flute 
signer2_sample387	generation 
signer2_sample388	gold 
signer2_sample392	infection 
signer2_sample393	instead 
signer2_sample396	kneel 
signer2_sample398	lipstick 
signer2_sample400	mature 
signer2_sample402	message 
signer2_sample403	metal 
signer2_sample407	nineteen 
signer2_sample408	octopus 
signer2_sample409	once 
signer2_sample410	parachute 
signer2_sample412	parallel 
signer2_sample413	peanut butter 
signer2_sample414	pet 
signer2_sample415	pity 
signer2_sample425	recent 
signer2_sample429	resign 
signer2_sample431	several 
signer2_sample432	shoulder 
signer2_sample433	siren 
signer2_sample435	slice 
signer2_sample437	snowman 
signer2_sample438	society 
signer2_sample443	still 
signer2_sample447	them 
signer2_sample448	theme 
signer2_sample450	tissue 
signer2_sample451	tongue 
signer2_sample454	worker 
signer2_sample460	adverb 
signer2_sample470	battery 
signer2_sample471	beside 
signer2_sample472	between 
signer2_sample481	cheerleader 
signer2_sample484	common sense 
signer2_sample488	counselor 
signer2_sample493	due 
signer2_sample496	everything 
signer2_sample511	mock 
signer2_sample523	precious 
signer2_sample526	psychologist 
signer2_sample541	settle 
signer2_sample548	sue 
signer2_sample554	testify 
signer2_sample555	thrill 
signer2_sample556	tobacco 
signer2_sample561	whistle 
signer3_sample1	no 
signer3_sample2	yes 
signer3_sample3	meet 
signer3_sample4	work 
signer3_sample5	thursday 
signer3_sample6	far 
signer3_sample7	sunday 
signer3_sample8	here 
signer3_sample9	please 
signer3_sample10	behind 
signer3_sample11	hour 
signer3_sample12	near 
signer3_sample16	ok 
signer3_sample19	there 
signer3_sample20	there 
signer3_sample24	her 
signer3_sample25	below 
signer3_sample26	goodbye 
signer3_sample27	monday 
signer3_sample28	we 
signer3_sample30	above 
signer3_sample33	tonight 
signer3_sample34	every monday 
signer3_sample35	every tuesday 
signer4_sample1	computer 
signer4_sample3	computer 
signer4_sample4	computer 
signer4_sample5	computer 
signer4_sample6	before 
signer4_sample8	candy 
signer4_sample9	candy 
signer4_sample10	deaf 
signer4_sample11	deaf 
signer4_sample12	help 
signer4_sample13	thin 
signer4_sample15	year 
signer4_sample16	yes 
signer4_sample17	black 
signer4_sample20	cool 
signer4_sample21	cool 
signer4_sample23	mother 
signer4_sample24	table 
signer4_sample25	thanksgiving 
signer4_sample26	what 
signer4_sample27	woman 
signer4_sample28	bed 
signer4_sample29	bed 
signer4_sample30	bed 
signer4_sample31	bowling 
signer4_sample32	hearing 
signer4_sample35	language 
signer4_sample36	language 
signer4_sample37	later 
signer4_sample38	later 
signer4_sample40	man 
signer4_sample41	bird 
signer4_sample42	color 
signer4_sample43	corn 
signer4_sample44	corn 
signer4_sample46	dark 
signer4_sample48	enjoy 
signer4_sample50	forget 
signer4_sample51	last 
signer4_sample52	pink 
signer4_sample53	pink 
signer4_sample55	work 
signer4_sample56	brown 
signer4_sample58	cheat 
signer4_sample59	cheat 
signer4_sample61	city 
signer4_sample62	letter 
signer4_sample64	right 
signer4_sample65	same 
signer4_sample66	same 
signer4_sample68	visit 
signer4_sample69	visit 
signer4_sample70	visit 
signer4_sample71	wife 
signer4_sample73	different 
signer4_sample74	inform 
signer4_sample75	rabbit 
signer4_sample76	rabbit 
signer4_sample77	red 
signer4_sample78	why 
signer4_sample79	bad 
signer4_sample80	blanket 
signer4_sample81	blanket 
signer4_sample82	call 
signer4_sample83	cold 
signer4_sample84	daughter 
signer4_sample86	example 
signer4_sample87	example 
signer4_sample88	good 
signer4_sample89	police 
signer4_sample90	police 
signer4_sample91	problem 
signer4_sample92	remember 
signer4_sample93	remember 
signer4_sample94	share 
signer4_sample95	soon 
signer4_sample97	sunday 
signer4_sample98	test 
signer4_sample99	test 
signer4_sample100	trade 
signer4_sample101	trade 
signer4_sample102	trade 
signer4_sample105	because 
signer4_sample106	because 
signer4_sample108	business 
signer4_sample110	center 
signer4_sample111	discuss 
signer4_sample113	government 
signer4_sample114	government 
signer4_sample117	join 
signer4_sample120	make 
signer4_sample121	make 
signer4_sample122	make 
signer4_sample126	office 
signer4_sample127	party 
signer4_sample131	sign 
signer4_sample139	back 
signer4_sample145	delay 
signer4_sample146	disappear 
signer4_sample147	fault 
signer4_sample148	fault 
signer4_sample150	heart 
signer4_sample151	humble 
signer4_sample152	humble 
signer4_sample153	humble 
signer4_sample160	patient 
signer4_sample165	voice 
signer4_sample166	vote 
signer4_sample167	vote 
signer4_sample168	age 
signer4_sample169	alone 
signer4_sample171	avoid 
signer4_sample172	balloon 
signer4_sample174	believe 
signer4_sample176	cafeteria 
signer4_sample177	child 
signer4_sample178	church 
signer4_sample179	decorate 
signer4_sample180	decorate 
signer4_sample181	deer 
signer4_sample183	fast 
signer4_sample184	fast 
signer4_sample186	follow 
signer4_sample187	happen 
signer4_sample188	happen 
signer4_sample189	hospital 
signer4_sample190	idea 
signer4_sample191	important 
signer4_sample192	investigate 
signer4_sample194	lettuce 
signer4_sample199	quiet 
signer4_sample200	ready 
signer4_sample201	research 
signer4_sample204	sentence 
signer4_sample207	speech 
signer4_sample208	speech 
signer4_sample210	tiger 
signer4_sample211	toast 
signer4_sample212	transfer 
signer4_sample214	truck 
signer4_sample216	weather 
signer4_sample217	accept 
signer4_sample224	carrot 
signer4_sample225	cause 
signer4_sample226	cheap 
signer4_sample227	chocolate 
signer4_sample228	cloud 
signer4_sample229	cloud 
signer4_sample230	compare 
signer4_sample232	continue 
signer4_sample233	correct 
signer4_sample234	demand 
signer4_sample236	depend 
signer4_sample237	desk 
signer4_sample238	develop 
signer4_sample239	easter 
signer4_sample240	end 
signer4_sample247	fail 
signer4_sample249	for 
signer4_sample250	freeze 
signer4_sample251	front 
signer4_sample252	god 
signer4_sample253	grammar 
signer4_sample256	lie 
signer4_sample257	lobster 
signer4_sample258	lobster 
signer4_sample260	measure 
signer4_sample261	neighbor 
signer4_sample262	polite 
signer4_sample263	postpone 
signer4_sample264	power 
signer4_sample267	raccoon 
signer4_sample268	reason 
signer4_sample271	rule 
signer4_sample273	smart 
signer4_sample274	smart 
signer4_sample275	sound 
signer4_sample276	stress 
signer4_sample277	sugar 
signer4_sample278	summer 
signer4_sample279	suspect 
signer4_sample280	themselves 
signer4_sample281	therapy 
signer4_sample283	turkey 
signer4_sample284	turkey 
signer4_sample285	until 
signer4_sample287	add 
signer4_sample288	add 
signer4_sample289	airplane 
signer4_sample292	arrest 
signer4_sample293	arrest 
signer4_sample295	attitude 
signer4_sample296	barely 
signer4_sample298	boat 
signer4_sample300	borrow 
signer4_sample301	boss 
signer4_sample302	bottom 
signer4_sample303	bottom 
signer4_sample305	build 
signer4_sample307	calm 
signer4_sample309	cancel 
signer4_sample312	destroy 
signer4_sample314	dollar 
signer4_sample315	dollar 
signer4_sample316	dollar 
signer4_sample318	excited 
signer4_sample319	feedback 
signer4_sample320	feedback 
signer4_sample321	frog 
signer4_sample322	group 
signer4_sample323	guilty 
signer4_sample325	impossible 
signer4_sample327	insurance 
signer4_sample329	lecture 
signer4_sample331	lecture 
signer4_sample333	lion 
signer4_sample334	math 
signer4_sample336	must 
signer4_sample337	neutral 
signer4_sample339	nose 
signer4_sample340	opinion 
signer4_sample341	other 
signer4_sample342	prepare 
signer4_sample345	quit 
signer4_sample347	require 
signer4_sample348	retire 
signer4_sample350	shine 
signer4_sample351	shine 
signer4_sample352	shock 
signer4_sample354	sky 
signer4_sample356	sky 
signer4_sample358	spirit 
signer4_sample359	staff 
signer4_sample360	stop 
signer4_sample363	to 
signer4_sample364	underwear 
signer4_sample365	upset 
signer4_sample366	upset 
signer4_sample367	wine 
signer4_sample368	witness 
signer4_sample369	across 
signer4_sample370	across 
signer4_sample373	attention 
signer4_sample375	care 
signer4_sample376	carry 
signer4_sample379	clear 
signer4_sample380	climb 
signer4_sample381	community 
signer4_sample382	cop 
signer4_sample383	cop 
signer4_sample384	cost 
signer4_sample386	curious 
signer4_sample387	deny 
signer4_sample388	divide 
signer4_sample390	embarrass 
signer4_sample394	encourage 
signer4_sample395	evaluate 
signer4_sample396	exact 
signer4_sample397	exaggerate 
signer4_sample398	fancy 
signer4_sample399	fancy 
signer4_sample400	finally 
signer4_sample402	fox 
signer4_sample403	function 
signer4_sample409	herself 
signer4_sample412	increase 
signer4_sample413	interpret 
signer4_sample416	lead 
signer4_sample418	lock 
signer4_sample419	mad 
signer4_sample420	next 
signer4_sample424	philosophy 
signer4_sample425	place 
signer4_sample429	presentation 
signer4_sample430	presentation 
signer4_sample431	procrastinate 
signer4_sample433	psychology 
signer4_sample434	review 
signer4_sample435	review 
signer4_sample437	review 
signer4_sample438	review 
signer4_sample439	rooster 
signer4_sample440	rude 
signer4_sample441	senate 
signer4_sample442	separate 
signer4_sample443	service 
signer4_sample445	shrimp 
signer4_sample448	side 
signer4_sample450	sometimes 
signer4_sample451	spider 
signer4_sample452	structure 
signer4_sample454	suggest 
signer4_sample457	symbol 
signer4_sample458	symbol 
signer4_sample460	tennis 
signer4_sample464	tournament 
signer4_sample468	yourself 
signer4_sample471	appropriate 
signer4_sample473	brave 
signer4_sample474	bright 
signer4_sample475	category 
signer4_sample476	chop 
signer4_sample478	coach 
signer4_sample479	coach 
signer4_sample480	commute 
signer4_sample481	count 
signer4_sample482	defend 
signer4_sample484	educate 
signer4_sample485	educate 
signer4_sample486	faculty 
signer4_sample487	farm 
signer4_sample489	give up 
signer4_sample492	heavy 
signer4_sample493	helmet 
signer4_sample495	influence 
signer4_sample496	lend 
signer4_sample497	linguistics 
signer4_sample500	major 
signer4_sample501	maximum 
signer4_sample503	multiply 
signer4_sample504	myself 
signer4_sample505	offer 
signer4_sample506	offer 
signer4_sample507	percent 
signer4_sample508	physics 
signer4_sample509	race 
signer4_sample510	race 
signer4_sample512	refuse 
signer4_sample513	represent 
signer4_sample518	search 
signer4_sample519	sensitive 
signer4_sample520	shampoo 
signer4_sample522	sing 
signer4_sample523	slip 
signer4_sample524	smell 
signer4_sample527	suffer 
signer4_sample528	tan 
signer4_sample529	through 
signer4_sample530	tooth 
signer4_sample531	total 
signer4_sample532	trust 
signer4_sample534	worse 
signer4_sample535	activity 
signer4_sample536	address 
signer4_sample538	agenda 
signer4_sample540	algebra 
signer4_sample541	all day 
signer4_sample542	angle 
signer4_sample543	angle 
signer4_sample544	apostrophe 
signer4_sample545	apostrophe 
signer4_sample546	appreciate 
signer4_sample548	archery 
signer4_sample549	assistant 
signer4_sample550	auction 
signer4_sample551	authority 
signer4_sample553	beginning 
signer4_sample554	beginning 
signer4_sample555	beginning 
signer4_sample557	belief 
signer4_sample558	belief 
signer4_sample561	calculate 
signer4_sample562	calculate 
signer4_sample563	calculus 
signer4_sample565	come here 
signer4_sample566	come here 
signer4_sample568	come here 
signer4_sample571	confront 
signer4_sample572	confront 
signer4_sample573	congress 
signer4_sample574	constitution 
